EpisodeNum, Average Steps (Steps/numRuns), Average Return (Return/numRuns)
1, 8885.38, -8885.38
2, 3797.96, -3797.96
3, 2987.88, -2987.88
4, 2457.74, -2457.74
5, 1963.36, -1963.36
6, 1654.0, -1654.0
7, 1531.42, -1531.42
8, 1462.6, -1462.6
9, 1211.04, -1211.04
10, 1231.52, -1231.52
11, 1047.96, -1047.96
12, 1070.42, -1070.42
13, 1009.8, -1009.8
14, 956.84, -956.84
15, 874.78, -874.78
16, 845.4, -845.4
17, 825.96, -825.96
18, 825.98, -825.98
19, 799.5, -799.5
20, 760.34, -760.34
21, 776.1, -776.1
22, 681.84, -681.84
23, 715.64, -715.64
24, 703.48, -703.48
25, 644.18, -644.18
26, 698.84, -698.84
27, 643.62, -643.62
28, 609.38, -609.38
29, 578.3, -578.3
30, 605.08, -605.08
31, 614.92, -614.92
32, 567.86, -567.86
33, 573.92, -573.92
34, 549.14, -549.14
35, 547.82, -547.82
36, 576.08, -576.08
37, 506.34, -506.34
38, 557.52, -557.52
39, 513.04, -513.04
40, 500.74, -500.74
41, 487.48, -487.48
42, 533.18, -533.18
43, 524.38, -524.38
44, 533.96, -533.96
45, 483.6, -483.6
46, 480.96, -480.96
47, 511.14, -511.14
48, 457.4, -457.4
49, 457.82, -457.82
50, 478.58, -478.58
51, 439.46, -439.46
52, 476.38, -476.38
53, 440.04, -440.04
54, 432.16, -432.16
55, 428.14, -428.14
56, 431.66, -431.66
57, 428.16, -428.16
58, 424.94, -424.94
59, 418.72, -418.72
60, 462.48, -462.48
61, 425.38, -425.38
62, 414.2, -414.2
63, 377.02, -377.02
64, 407.82, -407.82
65, 413.3, -413.3
66, 375.66, -375.66
67, 401.08, -401.08
68, 369.46, -369.46
69, 374.5, -374.5
70, 373.88, -373.88
71, 346.28, -346.28
72, 365.4, -365.4
73, 397.46, -397.46
74, 355.0, -355.0
75, 360.32, -360.32
76, 376.48, -376.48
77, 359.76, -359.76
78, 389.92, -389.92
79, 353.56, -353.56
80, 376.98, -376.98
81, 380.24, -380.24
82, 357.22, -357.22
83, 347.9, -347.9
84, 335.86, -335.86
85, 343.08, -343.08
86, 324.24, -324.24
87, 346.98, -346.98
88, 324.76, -324.76
89, 339.02, -339.02
90, 312.1, -312.1
91, 317.98, -317.98
92, 322.42, -322.42
93, 334.08, -334.08
94, 329.9, -329.9
95, 336.74, -336.74
96, 339.34, -339.34
97, 331.34, -331.34
98, 307.62, -307.62
99, 335.32, -335.32
100, 305.04, -305.04
101, 306.3, -306.3
102, 303.56, -303.56
103, 314.5, -314.5
104, 314.72, -314.72
105, 309.58, -309.58
106, 321.04, -321.04
107, 295.2, -295.2
108, 284.84, -284.84
109, 267.14, -267.14
110, 282.74, -282.74
111, 304.14, -304.14
112, 274.7, -274.7
113, 265.52, -265.52
114, 256.08, -256.08
115, 270.1, -270.1
116, 286.12, -286.12
117, 280.02, -280.02
118, 274.38, -274.38
119, 257.7, -257.7
120, 273.5, -273.5
121, 281.36, -281.36
122, 276.2, -276.2
123, 264.76, -264.76
124, 259.96, -259.96
125, 244.34, -244.34
126, 254.58, -254.58
127, 247.1, -247.1
128, 275.54, -275.54
129, 260.3, -260.3
130, 248.4, -248.4
131, 259.38, -259.38
132, 253.22, -253.22
133, 232.2, -232.2
134, 268.0, -268.0
135, 250.38, -250.38
136, 252.06, -252.06
137, 253.78, -253.78
138, 266.06, -266.06
139, 236.92, -236.92
140, 242.4, -242.4
141, 256.6, -256.6
142, 230.3, -230.3
143, 247.96, -247.96
144, 251.5, -251.5
145, 247.52, -247.52
146, 236.18, -236.18
147, 244.02, -244.02
148, 246.84, -246.84
149, 232.48, -232.48
150, 233.5, -233.5
151, 231.96, -231.96
152, 236.66, -236.66
153, 226.08, -226.08
154, 233.82, -233.82
155, 238.22, -238.22
156, 234.0, -234.0
157, 242.0, -242.0
158, 229.66, -229.66
159, 251.38, -251.38
160, 227.74, -227.74
161, 221.42, -221.42
162, 232.02, -232.02
163, 227.54, -227.54
164, 228.92, -228.92
165, 232.78, -232.78
166, 222.66, -222.66
167, 219.28, -219.28
168, 226.88, -226.88
169, 221.2, -221.2
170, 216.3, -216.3
171, 231.84, -231.84
172, 224.3, -224.3
173, 219.62, -219.62
174, 209.7, -209.7
175, 212.78, -212.78
176, 224.24, -224.24
177, 212.52, -212.52
178, 219.58, -219.58
179, 220.22, -220.22
180, 218.46, -218.46
181, 211.06, -211.06
182, 217.7, -217.7
183, 207.62, -207.62
184, 210.68, -210.68
185, 207.38, -207.38
186, 212.68, -212.68
187, 217.5, -217.5
188, 214.56, -214.56
189, 209.3, -209.3
190, 196.6, -196.6
191, 214.92, -214.92
192, 215.44, -215.44
193, 215.04, -215.04
194, 220.22, -220.22
195, 225.34, -225.34
196, 226.44, -226.44
197, 198.62, -198.62
198, 217.16, -217.16
199, 208.2, -208.2
200, 220.3, -220.3
